"metadata$Persistence.1 comps"	"metadata$Persistence.2 comps"	"metadata$Persistence.3 comps"	"metadata$Persistence.4 comps"	"metadata$Persistence.5 comps"
"metadata$S"	-0.274940405646382	-0.209563095671782	-0.318632926829392	-0.624901842804816	-0.40973767537765
"metadata$C"	-1.27296596868921	-1.73149706353402	-1.40653783060811	-1.06873150434804	-1.00562136155761
"metadata$STL"	-3.60203701146831	-6.89752934955619	-7.13598185117672	-7.33708204080277	-7.34777147068077
"metadata$Degree"	-0.00224490983092249	0.909188806785945	1.04573517933637	1.12961617031574	1.61147053397391
"as.matrix(allC)cD1"	-0.118802356027163	0.544368386094801	0.393894809393484	0.345304166668211	0.318998678940496
"as.matrix(allC)cD2"	-0.541018992912397	-0.35756447299127	-0.465462857793425	-0.612485009476495	-0.919774795159014
"as.matrix(allC)cD3"	-0.262984700077637	0.272423638311257	0.193545438794065	0.325118442815083	0.664073851809305
"as.matrix(allC)cD4"	-0.750867490922583	-0.822429812548605	-0.821845882528399	-0.676125823852425	-0.486702873954772
"as.matrix(allC)cD5"	-0.403225594427992	-0.216030949296405	-0.329101788038689	-0.260086509231405	-0.333470661206083
"as.matrix(allC)cD6"	-0.0301996185052508	0.547112034145745	0.350009690921565	0.328013097853039	0.308394085457573
"as.matrix(allC)cD7"	-0.276350183099036	0.162051882680772	-0.0460792240861015	-0.076417533246077	-0.239917908716885
"as.matrix(allC)cD8"	-0.423513844259458	-0.281930943317895	-0.384189590457996	-0.267972388779279	-0.230154414625447
"as.matrix(allC)cS1"	-0.227212334005403	0.296493076721424	0.505347087426956	0.582238625272773	0.817785215140052
"as.matrix(allC)cS2"	-0.201091054953684	0.406875287253844	0.364584676850506	-0.0147751017061322	-0.828233310444263
"as.matrix(allC)cS3"	-0.0716109782973675	0.0201349173797064	0.0686311185343447	0.193583144592159	0.07989289400226
"as.matrix(allC)cS4"	-0.0470782736168128	0.34777843187699	0.550641311362256	0.475768654743199	0.529104973944785
"as.matrix(allC)cS5"	-0.195414883513229	0.346746336930641	0.396494428989718	0.247255145262489	0.308853974563095
"metadata$S:metadata$C"	-1.2741687835458	-1.65199474240518	-1.43418526056942	-1.32690504565307	-1.44437459795816
