S	C	ext_corr	df	SS	MS	Model_F	R2	pval
100	0.02	0.898604348294	1	22.6261013382	22.6261013382	125.353235035	0.0123825803688	0.0
100	0.04	0.916883540587	1	33.61410518	33.61410518	191.446536907	0.018788708122	0.0
100	0.06	0.922807070694	1	35.6960214117	35.6960214117	205.782474568	0.0201672737615	0.0
100	0.08	0.931691310664	1	29.8341204762	29.8341204762	175.541510061	0.0172547101604	0.0
100	0.1	0.934010946642	1	25.3385362668	25.3385362668	148.376696818	0.0146236140498	0.0
100	0.12	0.934463605737	1	26.9676631489	26.9676631489	156.35094689	0.0153974338397	0.0
100	0.14	0.938974067122	1	16.9242867622	16.9242867622	98.3283795097	0.00973902351565	0.0
100	0.16	0.938451230693	1	24.9368236717	24.9368236717	143.666366898	0.0141659527834	0.0
100	0.18	0.938849029101	1	20.615071209	20.615071209	117.634034138	0.011628933366	0.0
100	0.2	0.942248058618	1	18.8181454709	18.8181454709	104.599795891	0.0103537503222	0.0
