"means"	"sds"	"mins"	"maxes"
"cS1"	152.899966666667	135.404304332741	0	1056
"cS2"	151.807113333333	203.373769157073	0	1910
"cS3"	0.00873333333333333	0.133480717018458	0	9
"cS4"	91.24644	99.5420589044134	0	1066
"cS5"	274.190606666667	257.700251513325	0	4001
"cD1"	21.3233066666667	52.1437843261518	0	986
"cD2"	8.46425333333333	21.2450631301484	0	341
"cD3"	20.44106	45.5094483924712	0	1098
"cD4"	2.74450666666667	7.32603562512404	0	180
"cD5"	0.381026666666667	1.55514259735623	0	79
"cD6"	0.950493333333333	4.26581327081166	0	134
"cD7"	2.15052666666667	7.71260069401612	0	229
"cD8"	0.41316	1.83531640315782	0	106
