"Motif"	"Raw_intercept"	"Raw_beta"	"Raw_var"	"Raw_p"	"Prop_intercept"	"Prop_beta"	"Prop_var"	"Prop_p"	"Z_intercept"	"Z_beta"	"Z_var"	"Z_p"
"1"	"cD1"	"-30.4714429761835"	"2.20605917942204"	"0.00334498966812069"	"0"	"-0.00231377922925496"	"0.000882546847259505"	"2.16467893175557e-06"	"0"	"-0.590976889430635"	"0.0251710839562808"	"7.7355889965452e-05"	"0"
"2"	"cD2"	"-10.2577126273212"	"0.797412192338512"	"0.001496538336224"	"0"	"-0.00237213737191748"	"0.000397797831384965"	"1.19390738073115e-06"	"0"	"-0.488277377956992"	"0.0207968722539204"	"7.78906445314588e-05"	"0"
"3"	"cD3"	"-21.2935419434902"	"1.77757402732559"	"0.00312076323298635"	"0"	"0.00564026318881867"	"0.000637497989121512"	"3.15484263750091e-06"	"0"	"-0.496103533982067"	"0.0211302064906481"	"7.99993023669931e-05"	"0"
"4"	"cD4"	"-2.02832354402335"	"0.203285969537814"	"0.000585242148728006"	"0"	"0.000650959436785552"	"8.9772385807e-05"	"5.47836560536764e-07"	"0"	"-0.287125123979605"	"0.0122293286436477"	"8.03034403087733e-05"	"0"
"5"	"cD5"	"-0.504535031344398"	"0.0377181379640389"	"0.000128103484013989"	"0"	"-8.6042359325471e-06"	"1.52121376128324e-05"	"1.21702218110691e-07"	"0"	"-0.261366769998384"	"0.011132220275735"	"7.08097300847188e-05"	"0"
"6"	"cD6"	"-2.02846879433829"	"0.126880944346986"	"0.000333900073119806"	"0"	"-0.000683922134060068"	"5.84760764202772e-05"	"2.32646066945113e-07"	"0"	"-0.418681552259538"	"0.0178326237308933"	"7.06658806869274e-05"	"0"
"7"	"cD7"	"-3.87001243799086"	"0.256428801152286"	"0.000579020138111615"	"0"	"-0.00102526109193083"	"0.000115446349635243"	"4.07036411340283e-07"	"0"	"-0.45664837210292"	"0.0194497191316147"	"7.41383743731399e-05"	"0"
"8"	"cD8"	"-0.536124409516309"	"0.040432236856748"	"0.0001537093515556"	"0"	"9.03293857806111e-06"	"1.61415074967572e-05"	"1.54370076867773e-07"	"0"	"-0.248606439727086"	"0.0105887280507211"	"7.09339089933905e-05"	"0"
"9"	"cS1"	"8.05798753232523"	"6.16915768177824"	"0.00798746867375868"	"0"	"0.263357815231795"	"-0.00124305543038382"	"1.00850009612839e-05"	"0"	"-0.613439459551374"	"0.0261278172033756"	"8.1090682187523e-05"	"0"
"10"	"cS2"	"-108.148027333931"	"11.0720956904196"	"0.00789275668446206"	"0"	"0.0517738154491347"	"0.00420556636522156"	"6.13479401878405e-06"	"0"	"-0.876484545285221"	"0.0373315208603373"	"7.06805277927986e-05"	"0"
"11"	"cS3"	"-0.00706506450467932"	"0.000672890607851793"	"1.19658914818852e-05"	"0"	"2.04490985221414e-06"	"2.957673135189e-07"	"1.40060888635641e-08"	"6.19514337939186e-99"	"-0.0209041576165887"	"0.000890356824120904"	"3.08969202012409e-05"	"1.92724293799969e-182"
"12"	"cS4"	"16.5186351362846"	"3.18283148416404"	"0.00759444030919388"	"0"	"0.164654083144281"	"-0.00104453531378119"	"8.67846350976493e-06"	"0"	"-0.38266100178136"	"0.0162984244813922"	"8.66165300701061e-05"	"0"
"13"	"cS5"	"-21.3925560455108"	"12.5895762385216"	"0.0136093533026127"	"0"	"0.520315689763848"	"-0.00413116251310813"	"1.28754836133338e-05"	"0"	"-0.708546480714074"	"0.0301786470367123"	"7.79027244289689e-05"	"0"
